"V1";"V2";"V3";"V4";"V5";"V6"
0319001000000007001;2012-01-01;00:00:00  ;1;  17.97;  20.73;  18.57
0319001000000007001;2012-01-01;00:15:00  ;2;  20.43;  23.55;  21.24
0319001000000007001;2012-01-01;00:30:00  ;3;  20.46;  23.82;  21.51
0319001000000007001;2012-01-01;00:45:00  ;4;  23.76;  26.64;  24.18
0319001000000007001;2012-01-01;01:00:00  ;5;  20.76;  23.88;  21.57
0319001000000007001;2012-01-01;01:15:00  ;6;  25.47;  28.56;  26.01
0319001000000007001;2012-01-01;01:30:00  ;7;  18.63;  21.72;  19.53
0319001000000007001;2012-01-01;01:45:00  ;8;  19.89;  23.10;  20.82
0319001000000007001;2012-01-01;02:00:00  ;9;  52.56;  54.12;  53.76
0319001000000007001;2012-01-01;02:15:00  ;10;  54.60;  56.16;  56.28
0319001000000007001;2012-01-01;02:30:00  ;11;  67.20;  69.12;  68.28
0319001000000007001;2012-01-01;02:45:00  ;12;  67.56;  69.72;  68.76
0319001000000007001;2012-01-01;03:00:00  ;13;  54.24;  55.92;  56.16
0319001000000007001;2012-01-01;03:15:00  ;14; 101.64; 104.52; 102.96
0319001000000007001;2012-01-01;03:30:00  ;15;  66.84;  69.12;  68.16
0319001000000007001;2012-01-01;03:45:00  ;16;  63.48;  65.52;  64.80
0319001000000007001;2012-01-01;04:00:00  ;17;  50.76;  52.20;  51.84
0319001000000007001;2012-01-01;04:15:00  ;18;  66.84;  69.24;  68.40
0319001000000007001;2012-01-01;04:30:00  ;19;  66.60;  68.76;  68.04
0319001000000007001;2012-01-01;04:45:00  ;20;  66.72;  69.12;  68.04
0319001000000007001;2012-01-01;05:00:00  ;21;  66.24;  68.52;  67.68
0319001000000007001;2012-01-01;05:15:00  ;22;  55.08;  57.00;  56.04
0319001000000007001;2012-01-01;05:30:00  ;23;  54.24;  56.04;  55.80
0319001000000007001;2012-01-01;05:45:00  ;24;  30.60;  31.44;  31.92
0319001000000007001;2012-01-01;06:00:00  ;25;  30.48;  31.44;  31.92
0319001000000007001;2012-01-01;06:15:00  ;26;  48.96;  50.64;  52.08
0319001000000007001;2012-01-01;06:30:00  ;27;   6.96;   9.00;   8.40
0319001000000007001;2012-01-01;06:45:00  ;28;   6.96;   9.60;   7.92
0319001000000007001;2012-01-01;07:00:00  ;29;   6.96;   9.60;   7.80
0319001000000007001;2012-01-01;07:15:00  ;30;   6.84;   9.60;   7.68
0319001000000007001;2012-01-01;07:30:00  ;31;  13.68;  15.48;  16.44
0319001000000007001;2012-01-01;07:45:00  ;32;   6.84;  10.08;   6.96
0319001000000007001;2012-01-01;08:00:00  ;33;   6.72;   9.96;   6.96
0319001000000007001;2012-01-01;08:15:00  ;34;   6.84;  10.08;   6.96
0319001000000007001;2012-01-01;08:30:00  ;35;   7.08;  10.20;   7.20
0319001000000007001;2012-01-01;08:45:00  ;36;   6.96;  10.32;   6.96
0319001000000007001;2012-01-01;09:00:00  ;37;   6.96;  10.44;   6.96
0319001000000007001;2012-01-01;09:15:00  ;38;   6.96;  10.32;   7.08
0319001000000007001;2012-01-01;09:30:00  ;39;   6.96;  10.20;   7.08
0319001000000007001;2012-01-01;09:45:00  ;40;   6.84;  10.20;   7.08
0319001000000007001;2012-01-01;10:00:00  ;41;   6.84;  10.32;   7.08
0319001000000007001;2012-01-01;10:15:00  ;42;   6.84;  10.32;   7.08
0319001000000007001;2012-01-01;10:30:00  ;43;   7.08;  10.44;   7.20
0319001000000007001;2012-01-01;10:45:00  ;44;   6.96;  10.32;   7.20
0319001000000007001;2012-01-01;11:00:00  ;45;   7.08;  10.32;   7.20
0319001000000007001;2012-01-01;11:15:00  ;46;   7.08;  10.32;   7.20
0319001000000007001;2012-01-01;11:30:00  ;47;   6.96;  10.32;   7.20
0319001000000007001;2012-01-01;11:45:00  ;48;   6.84;  10.08;   7.32
0319001000000007001;2012-01-01;12:00:00  ;49;   6.96;  10.32;   7.08
0319001000000007001;2012-01-01;12:15:00  ;50;   6.96;  10.32;   7.08
0319001000000007001;2012-01-01;12:30:00  ;51;   7.08;  10.44;   7.20
0319001000000007001;2012-01-01;12:45:00  ;52;   7.08;  10.44;   7.20
0319001000000007001;2012-01-01;13:00:00  ;53;   7.20;  10.44;   7.20
0319001000000007001;2012-01-01;13:15:00  ;54;   7.20;  10.44;   7.20
0319001000000007001;2012-01-01;13:30:00  ;55;   7.20;  10.44;   7.20
0319001000000007001;2012-01-01;13:45:00  ;56;   7.20;  10.44;   7.32
0319001000000007001;2012-01-01;14:00:00  ;57;   7.44;  10.68;   7.20
0319001000000007001;2012-01-01;14:15:00  ;58;   7.44;  10.56;   7.08
0319001000000007001;2012-01-01;14:30:00  ;59;   7.44;  10.44;   7.44
0319001000000007001;2012-01-01;14:45:00  ;60;   7.20;  10.44;   7.20
0319001000000007001;2012-01-01;15:00:00  ;61;   7.08;  10.44;   7.20
0319001000000007001;2012-01-01;15:15:00  ;62;   7.32;  10.56;   7.08
0319001000000007001;2012-01-01;15:30:00  ;63;   7.32;  10.44;   7.32
0319001000000007001;2012-01-01;15:45:00  ;64;   7.20;  10.44;   7.20
0319001000000007001;2012-01-01;16:00:00  ;65;  22.14;  25.02;  22.62
0319001000000007001;2012-01-01;16:15:00  ;66;   7.32;  10.44;   7.32
0319001000000007001;2012-01-01;16:30:00  ;67;   7.56;  10.56;   7.44
0319001000000007001;2012-01-01;16:45:00  ;68;   7.32;  10.44;   7.32
0319001000000007001;2012-01-01;17:00:00  ;69;  20.31;  23.28;  21.36
0319001000000007001;2012-01-01;17:15:00  ;70;   7.32;  10.56;   7.32
0319001000000007001;2012-01-01;17:30:00  ;71;  15.24;  17.76;  18.48
0319001000000007001;2012-01-01;17:45:00  ;72;  29.88;  31.20;  31.80
0319001000000007001;2012-01-01;18:00:00  ;73;  76.56;  79.20;  77.76
0319001000000007001;2012-01-01;18:15:00  ;74;  59.28;  62.52;  59.88
0319001000000007001;2012-01-01;18:30:00  ;75;  59.88;  62.88;  61.68
0319001000000007001;2012-01-01;18:45:00  ;76;  72.60;  75.84;  73.80
0319001000000007001;2012-01-01;19:00:00  ;77;  74.16;  77.16;  75.12
0319001000000007001;2012-01-01;19:15:00  ;78;  71.16;  74.04;  71.64
0319001000000007001;2012-01-01;19:30:00  ;79;  57.00;  60.96;  59.64
0319001000000007001;2012-01-01;19:45:00  ;80;  71.52;  74.64;  73.44
0319001000000007001;2012-01-01;20:00:00  ;81;  72.96;  76.44;  72.72
0319001000000007001;2012-01-01;20:15:00  ;82;  68.16;  70.32;  68.52
0319001000000007001;2012-01-01;20:30:00  ;83;  71.40;  72.84;  71.16
0319001000000007001;2012-01-01;20:45:00  ;84;  74.40;  77.04;  75.24
0319001000000007001;2012-01-01;21:00:00  ;85;  77.16;  81.24;  78.96
0319001000000007001;2012-01-01;21:15:00  ;86;  69.96;  72.60;  71.64
0319001000000007001;2012-01-01;21:30:00  ;87;  76.68;  79.56;  77.28
0319001000000007001;2012-01-01;21:45:00  ;88;  57.48;  59.88;  59.40
0319001000000007001;2012-01-01;22:00:00  ;89;  73.44;  76.20;  74.52
0319001000000007001;2012-01-01;22:15:00  ;90;  56.76;  58.92;  57.96
0319001000000007001;2012-01-01;22:30:00  ;91;  76.80;  79.56;  78.96
0319001000000007001;2012-01-01;22:45:00  ;92;  76.80;  79.92;  77.88
0319001000000007001;2012-01-01;23:00:00  ;93;  34.32;  35.52;  35.52
0319001000000007001;2012-01-01;23:15:00  ;94;  70.68;  72.60;  71.64
0319001000000007001;2012-01-01;23:30:00  ;95;  71.64;  74.16;  73.44
0319001000000007001;2012-01-01;23:45:00  ;96;  70.32;  72.84;  70.56
0319001000000007001;2012-01-02;00:00:00  ;97;  71.16;  73.56;  72.36
0319001000000007001;2012-01-02;00:15:00  ;98;  57.60;  60.36;  59.52
0319001000000007001;2012-01-02;00:30:00  ;99;  76.92;  80.76;  79.08
0319001000000007001;2012-01-02;00:45:00  ;100;  33.96;  35.76;  35.64
0319001000000007001;2012-01-02;01:00:00  ;101;  57.72;  60.24;  59.16
0319001000000007001;2012-01-02;01:15:00  ;102;  72.72;  77.04;  75.00
0319001000000007001;2012-01-02;01:30:00  ;103;  66.12;  68.88;  67.68
0319001000000007001;2012-01-02;01:45:00  ;104;  53.40;  54.84;  54.24
0319001000000007001;2012-01-02;02:00:00  ;105;  68.52;  71.28;  70.20
0319001000000007001;2012-01-02;02:15:00  ;106;  54.36;  56.88;  56.16
0319001000000007001;2012-01-02;02:30:00  ;107;  67.92;  70.92;  69.48
0319001000000007001;2012-01-02;02:45:00  ;108;  58.20;  60.72;  59.52
0319001000000007001;2012-01-02;03:00:00  ;109;  75.00;  78.00;  76.20
0319001000000007001;2012-01-02;03:15:00  ;110;  75.72;  79.56;  77.88
0319001000000007001;2012-01-02;03:30:00  ;111;  48.12;  50.28;  49.56
0319001000000007001;2012-01-02;03:45:00  ;112;  67.08;  69.72;  68.16
0319001000000007001;2012-01-02;04:00:00  ;113;  75.36;  78.60;  77.40
0319001000000007001;2012-01-02;04:15:00  ;114;  71.04;  74.04;  71.40
0319001000000007001;2012-01-02;04:30:00  ;115;  71.52;  74.64;  73.80
0319001000000007001;2012-01-02;04:45:00  ;116;  57.72;  60.60;  59.76
0319001000000007001;2012-01-02;05:00:00  ;117;  34.68;  36.12;  35.76
0319001000000007001;2012-01-02;05:15:00  ;118;  73.44;  76.68;  73.68
